Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Philippines,PHL,2022,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,6673096927.87434
Philippines,PHL,2021,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,6299586626.83344
Philippines,PHL,2020,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,5929697458.30431
Philippines,PHL,2019,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,6098008299.54407
Philippines,PHL,2018,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,5939974716.32148
Philippines,PHL,2017,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,5638432512.78667
Philippines,PHL,2016,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,5493167309.65176
Philippines,PHL,2015,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,3460947517.16
Philippines,PHL,2014,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,3472350162.776
Philippines,PHL,2013,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,3335865496.58
Philippines,PHL,2012,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,3003175187.84
Philippines,PHL,2011,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2768620263.99
Philippines,PHL,2010,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2235907860.43
Philippines,PHL,2009,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1897018491.8
Philippines,PHL,2008,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1604028857.57
Philippines,PHL,2007,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1365014670.53
Philippines,PHL,2006,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1013213073.43
Philippines,PHL,2005,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,653456159.57
Philippines,PHL,2004,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,520000000
Philippines,PHL,2003,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,461000000
Philippines,PHL,2002,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,415000000
Philippines,PHL,2001,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,350000000
Philippines,PHL,2000,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,258000000
Philippines,PHL,1999,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,196000000
